workload_id,axis,scale_value,execution_index,trial,wall_ms,cpu_ms
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,4,33.314218,35.153969
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,5,32.62965,34.431553
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,6,33.742763,35.579794
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,7,31.568605,33.311814
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,8,34.155999,36.042364
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,9,33.759095,35.623032
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,10,38.890374,41.037904
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,1,197.848128,208.768702
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,2,193.63694,204.337517
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,3,200.271708,211.323381
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,4,205.339742,216.665443
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,5,196.637657,207.50303
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,6,190.757675,201.287987
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,7,195.120665,205.90348
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,8,192.601276,203.244762
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,9,199.661809,210.695467
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,10,194.177793,204.786839
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,1,514.506048,542.312654
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,2,522.923691,551.193584
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,3,519.689709,547.443775
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,4,611.77808,644.839498
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,5,635.223406,669.540942
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,6,641.64863,675.946766
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,7,644.503749,679.345523
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,8,679.167179,715.872086
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,9,653.202578,683.181972
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,10,641.197589,669.792587
